App Name, Last Updated Date, Version, URL
SuryodayaWomi Smart App,Thu Mar 16 2023,1.0.1,https://play.google.com/store/apps/details?id=com.mofin.synergy.suryoadaya_womi
Chhimek - MoBank,Tue Feb 28 2023,1.0.107,https://play.google.com/store/apps/details?id=com.mofin.chhimek
Shree Nepal Smart App,Wed Mar 08 2023,1.0.4,https://play.google.com/store/apps/details?id=com.mofin.luniva.shreenepal
Bishwash Smart App,Mon Mar 27 2023,1.0.1,https://play.google.com/store/apps/details?id=com.mofin.oxpan.bishwash
Janasewi Smart App,Thu Mar 23 2023,1.0.2,https://play.google.com/store/apps/details?id=com.mofin.synergy.janasewi
Hamro Smart Banking,Wed Mar 29 2023,1.0.11,https://play.google.com/store/apps/details?id=com.mofin.uranus.hamro_mofin
NhuguPala Digital Banking,Thu Mar 23 2023,1.0.105,https://play.google.com/store/apps/details?id=com.mofin.nhugu_pala
Sagarmatha - MoFin,Fri Mar 03 2023,1.0.92,https://play.google.com/store/apps/details?id=com.mofin.sagarmatha
Yaksha Smart App,Thu Mar 23 2023,1.0.5,https://play.google.com/store/apps/details?id=com.mofin.easy.yaksha_multipurpose
Buddha Mai - Mofin,Wed Mar 22 2023,1.0.100,https://play.google.com/store/apps/details?id=com.mofin.easy.buddha_mai
Sarvamanya - MoFin,Thu Mar 23 2023,1.0.98,https://play.google.com/store/apps/details?id=com.mofin.sarvamanya
Saarbhut - MoFin,Wed Mar 22 2023,1.0.97,https://play.google.com/store/apps/details?id=com.mofin.easy.saarbhut_mofin
Sewa Subharambha - MoFin,Wed Mar 08 2023,1.0.100,https://play.google.com/store/apps/details?id=com.mofin.suvaramba
Sarathimcoop,Wed Nov 16 2022,1.0.24,https://play.google.com/store/apps/details?id=com.mofin.rudraksha.sarathi_mofin
ShreeKrishna Digital Banking,Fri Mar 03 2023,1.0.7,https://play.google.com/store/apps/details?id=com.mofin.luniva.shree_krishna_mofin
Navodaya - MoFin,Tue Mar 28 2023,1.0.109,https://play.google.com/store/apps/details?id=com.mofin.navodaya
Maitri Smart Banking,Tue Mar 28 2023,1.0.108,https://play.google.com/store/apps/details?id=com.mofin.maitri
PathariSanischare SmartBanking,Wed Mar 08 2023,1.0.7,https://play.google.com/store/apps/details?id=com.mofin.oxpan.patharisanischare
Hamro Sunaulo - MoFin,Thu Mar 23 2023,1.0.94,https://play.google.com/store/apps/details?id=com.mofin.easy.hamro_sunaulo
Anjali Smart Banking,Fri Sep 23 2022,1.0.70,https://play.google.com/store/apps/details?id=com.mofin.anjali
Nagarjun - MoFin,Thu Mar 23 2023,1.0.98,https://play.google.com/store/apps/details?id=com.mofin.nagarjun
Gurjudhara Smart App,Fri Mar 31 2023,1.0.0,https://play.google.com/store/apps/details?id=com.mofin.easy.gurjudhara
Brishti Smart Banking,Wed Dec 28 2022,1.0.4,https://play.google.com/store/apps/details?id=com.mofin.luniva.bristi
Suryadarsan Smart App,Tue Mar 07 2023,1.0.5,https://play.google.com/store/apps/details?id=com.mofin.oxpan.suryadarsan
Mahuli Mobile Banking,Wed Feb 15 2023,1.0.0,https://play.google.com/store/apps/details?id=com.mofin.uranus.mahuli
Bhirkutimandap - MoFin,Thu Mar 23 2023,1.0.94,https://play.google.com/store/apps/details?id=com.mofin.bhirkutimandap
Susandesh - MoFin,Thu Feb 09 2023,1.0.100,https://play.google.com/store/apps/details?id=com.mofin.susandesh
Margadarshan BHW Smart Banking,Tue Mar 07 2023,1.0.95,https://play.google.com/store/apps/details?id=com.mofin.margadarshanbsw
Namaste - MoFin,Wed Mar 01 2023,1.0.99,https://play.google.com/store/apps/details?id=com.mofin.oxpan.namaste
Prime - MoFin,Thu Mar 23 2023,1.0.94,https://play.google.com/store/apps/details?id=com.mofin.easy.prime
Shree Bir Bhagawoti Mofin,Thu Mar 23 2023,1.0.99,https://play.google.com/store/apps/details?id=com.mofin.easy.shree_bir_bhagawati
Kamana - Mofin,Wed Mar 08 2023,1.0.92,https://play.google.com/store/apps/details?id=com.mofin.luniva.kamana
Pratibha - MoFin,Tue Mar 28 2023,1.0.103,https://play.google.com/store/apps/details?id=com.mofin.prativa
Our Standard - MoFin,Wed Mar 08 2023,1.0.94,https://play.google.com/store/apps/details?id=com.mofin.luniva.our_standard
Shulav Smart Banking,Thu Feb 23 2023,1.0.6,https://play.google.com/store/apps/details?id=com.mofin.finacct.shulav
SID Nepal - MoFin,Tue Mar 21 2023,1.0.100,https://play.google.com/store/apps/details?id=com.mofin.sid
Bhagawati - MoFin,Tue Mar 07 2023,1.0.94,https://play.google.com/store/apps/details?id=com.mofin.oxpan.bhagawati
Sangharsha - MoFin,Wed Mar 08 2023,1.0.96,https://play.google.com/store/apps/details?id=com.mofin.sangharsha
Nalapani - MoFin,Thu Feb 23 2023,1.0.4,https://play.google.com/store/apps/details?id=com.mofin.channakya.nalapani
Sani Veri - MoFin,Thu Mar 23 2023,1.0.97,https://play.google.com/store/apps/details?id=com.mofin.saniveri
AndhakarMukti Digital Banking,Tue Mar 07 2023,1.0.107,https://play.google.com/store/apps/details?id=com.mofin.synergy.andhakar_mukti
City Saving - MoFin,Wed Mar 01 2023,1.0.98,https://play.google.com/store/apps/details?id=com.mofin.oxpan.citysaving
Bauddha Grameen Smart App,Wed Mar 29 2023,1.0.90,https://play.google.com/store/apps/details?id=com.mofin.uranus.bauddha_mofin
Laxminarayan Smart App,Fri Feb 10 2023,1.0.3,https://play.google.com/store/apps/details?id=com.mofin.luniva.laxminarayan
Surya Kiran - MoFin,Tue Mar 07 2023,1.0.92,https://play.google.com/store/apps/details?id=com.mofin.oxpan.surya_kiran
Gaunshahar Smart Banking,Thu Feb 23 2023,1.0.2,https://play.google.com/store/apps/details?id=com.mofin.finacct.gaunshahar
Mirmire - MoFin,Tue Mar 07 2023,1.0.97,https://play.google.com/store/apps/details?id=com.mofin.oxpan.mirmirebachat
Swarojgar - Mobile Karobar,Thu Mar 09 2023,1.0.96,https://play.google.com/store/apps/details?id=com.mofin.swarojgar
Rastrasewak - MoFin,Tue Mar 28 2023,1.0.103,https://play.google.com/store/apps/details?id=com.mofin.rastrasewak
Ayan - MoFin,Thu Mar 23 2023,1.0.94,https://play.google.com/store/apps/details?id=com.mofin.easy.ayan
Mangaldeep Mofin,Tue Mar 07 2023,1.0.96,https://play.google.com/store/apps/details?id=com.mofin.luniva.mangaldeep
Parbat Smart Banking,Fri Feb 10 2023,1.0.5,https://play.google.com/store/apps/details?id=com.mofin.luniva.parbat
Aadhar Bindu - MoFin,Wed Mar 22 2023,1.0.100,https://play.google.com/store/apps/details?id=com.mofin.aadhar_bindhu
Salleni -Mofin,Wed Mar 08 2023,1.0.88,https://play.google.com/store/apps/details?id=com.mofin.luniva.salleni
Chhimek Karmachari - MoFin,Wed Feb 01 2023,1.0.95,https://play.google.com/store/apps/details?id=com.mofin.synergy.chhimek_karmachari_mofin
Ekikrit - Mofin,Sun Mar 12 2023,1.0.95,https://play.google.com/store/apps/details?id=com.mofin.luniva.ekikrit_mofin
Dhanraj - MoFin,Wed Mar 22 2023,1.0.99,https://play.google.com/store/apps/details?id=com.mofin.dhanraj
Udhyamshilata - MoFin,Wed Mar 29 2023,1.0.75,https://play.google.com/store/apps/details?id=com.mofin.uranus.udhyamshilata_mofin
Gongabu Siddhi - MoFin,Thu Mar 23 2023,1.0.98,https://play.google.com/store/apps/details?id=com.mofin.gongabu
NICAMF - moBank,Mon Mar 13 2023,1.0.19,https://play.google.com/store/apps/details?id=com.mofin.uranus.nic_asia_laghubitta
